imei_code,route_code,passed_at,next_busstop,status
35,17202,2016-05-09 05:30:53,2046,1
38,76000,2016-05-09 06:41:27,2046,1
114,88002,2016-05-09 06:55:12,2046,1
36,66020,2016-05-09 07:03:51,2046,1
38,2,2016-05-09 07:08:16,2046,1
32,66021,2016-05-09 07:10:55,2046,1
32,66021,2016-05-09 07:13:04,1229,1
36,66020,2016-05-09 07:14:03,840,1
32,66021,2016-05-09 07:14:50,226,1
36,66020,2016-05-09 07:15:11,839,1
36,66020,2016-05-09 07:16:33,838,1
38,70101,2016-05-09 07:18:28,2046,1
36,66020,2016-05-09 07:18:50,811,1
32,66021,2016-05-09 07:19:48,213,1
36,66020,2016-05-09 07:19:50,810,1
111,66020,2016-05-09 07:20:24,2046,1
109,66020,2016-05-09 07:20:30,2046,1
114,88300,2016-05-09 07:20:37,2046,1
36,66020,2016-05-09 07:20:51,809,1
32,66021,2016-05-09 07:23:29,869,1
36,66020,2016-05-09 07:24:11,808,1
59,17011,2016-05-09 07:24:11,2046,1
111,66020,2016-05-09 07:24:12,840,1
111,66020,2016-05-09 07:25:12,839,1
36,66020,2016-05-09 07:25:35,807,1
111,66020,2016-05-09 07:25:56,838,1
36,66020,2016-05-09 07:27:22,212,1
60,66020,2016-05-09 06:20:40,2046,1
35,17220,2016-05-09 06:26:07,2046,1
60,66020,2016-05-09 06:36:05,840,1
264,17001,2016-05-09 06:36:59,2046,1
115,66020,2016-05-09 06:37:02,2046,1
60,66020,2016-05-09 06:37:05,839,1
60,66020,2016-05-09 06:38:01,838,1
60,66020,2016-05-09 06:42:02,811,1
60,66020,2016-05-09 06:43:05,810,1
60,66020,2016-05-09 06:43:39,809,1
60,66020,2016-05-09 06:46:14,808,1
60,66020,2016-05-09 06:47:28,807,1
115,66020,2016-05-09 06:48:05,840,1
60,66020,2016-05-09 06:48:56,212,1
115,66020,2016-05-09 06:49:01,839,1
115,66020,2016-05-09 06:49:48,838,1
115,66020,2016-05-09 06:53:36,811,1
115,66020,2016-05-09 06:54:43,810,1
115,66020,2016-05-09 06:55:21,809,1
115,66020,2016-05-09 06:58:08,808,1
35,17001,2016-05-09 06:58:50,2046,1
115,66020,2016-05-09 06:59:15,807,1
60,66020,2016-05-09 07:01:17,213,1
115,66020,2016-05-09 07:01:41,212,1
60,66020,2016-05-09 07:02:35,225,1
60,66020,2016-05-09 07:04:51,228,1
60,66020,2016-05-09 07:06:24,229,1
60,66020,2016-05-09 07:09:03,2047,2
41,88200,2016-05-09 07:12:09,2046,1
115,77002,2016-05-09 05:47:10,2046,1
40,2,2016-05-09 05:47:21,2046,1
40,75131,2016-05-09 05:57:54,2046,1
40,75100,2016-05-09 06:12:08,2046,1
34,77002,2016-05-09 06:12:40,2046,1
267,66020,2016-05-09 06:16:08,2046,1
267,66020,2016-05-09 06:20:11,840,1
267,66020,2016-05-09 06:21:06,839,1
267,66020,2016-05-09 06:21:53,838,1
267,66020,2016-05-09 06:25:47,811,1
267,66020,2016-05-09 06:26:51,810,1
267,66020,2016-05-09 06:27:24,809,1
267,66020,2016-05-09 06:30:13,808,1
267,66020,2016-05-09 06:31:20,807,1
267,66020,2016-05-09 06:32:49,212,1
267,66020,2016-05-09 06:43:53,213,1
267,66020,2016-05-09 06:45:13,225,1
267,66020,2016-05-09 06:47:11,228,1
116,77002,2016-05-09 06:47:26,2046,1
267,66020,2016-05-09 06:48:59,229,1
267,66020,2016-05-09 06:50:22,2047,2
40,75101,2016-05-09 06:51:07,2046,1
267,66021,2016-05-09 06:51:28,2046,1
116,77000,2016-05-09 06:53:24,2046,1
267,66021,2016-05-09 07:06:10,1229,1
267,66021,2016-05-09 07:08:05,226,1
267,66021,2016-05-09 07:12:26,213,1
267,66021,2016-05-09 07:15:01,869,1
116,76000,2016-05-09 07:20:06,2046,1
267,66021,2016-05-09 07:27:55,807,1
40,75100,2016-05-09 07:29:19,2046,1
267,66021,2016-05-09 07:29:50,808,1
267,66021,2016-05-09 07:31:45,809,1
267,66021,2016-05-09 07:32:36,810,1
267,66021,2016-05-09 07:35:03,811,1
267,66021,2016-05-09 07:36:44,838,1
267,66021,2016-05-09 07:37:40,839,1
267,66021,2016-05-09 07:41:01,840,1
267,66021,2016-05-09 07:42:10,841,1
267,66021,2016-05-09 07:42:40,2047,2
267,66002,2016-05-09 07:43:14,2046,1
116,70100,2016-05-09 07:44:38,2046,1
267,66020,2016-05-09 07:45:05,2046,1
37,65000,2016-05-09 07:48:25,2046,1
267,66020,2016-05-09 07:50:10,840,1
267,66020,2016-05-09 07:51:11,839,1
267,66020,2016-05-09 07:51:59,838,1
267,66020,2016-05-09 07:54:53,811,1
60,66002,2016-05-09 05:32:28,2046,1
117,17220,2016-05-09 06:57:51,2046,1
117,17220,2016-05-09 06:58:01,2046,1
117,17220,2016-05-09 06:58:10,2046,1
112,66020,2016-05-09 06:58:11,2046,1
117,17220,2016-05-09 06:58:20,2046,1
117,17220,2016-05-09 06:58:29,2046,1
117,17220,2016-05-09 06:58:39,2046,1
117,17220,2016-05-09 06:58:48,2046,1
117,17220,2016-05-09 06:58:58,2046,1
117,17220,2016-05-09 06:59:07,2046,1
112,66020,2016-05-09 07:02:28,840,1
112,66020,2016-05-09 07:03:05,839,1
112,66020,2016-05-09 07:03:48,838,1
34,75100,2016-05-09 07:04:23,2046,1
112,66020,2016-05-09 07:07:12,811,1
112,66020,2016-05-09 07:08:10,810,1
112,66020,2016-05-09 07:09:04,809,1
112,66020,2016-05-09 07:12:14,808,1
112,66020,2016-05-09 07:13:47,807,1
112,66020,2016-05-09 07:15:43,212,1
112,66020,2016-05-09 07:35:47,213,1
117,17001,2016-05-09 07:36:05,2046,1
117,17001,2016-05-09 07:36:15,2046,1
117,17001,2016-05-09 07:36:24,2046,1
117,17001,2016-05-09 07:36:34,2046,1
117,17001,2016-05-09 07:36:43,2046,1
117,17001,2016-05-09 07:36:53,2046,1
117,17001,2016-05-09 07:37:02,2046,1
112,66020,2016-05-09 07:37:09,225,1
117,17001,2016-05-09 07:37:12,2046,1
117,17001,2016-05-09 07:37:21,2046,1
112,66020,2016-05-09 07:39:28,228,1
112,66020,2016-05-09 07:41:11,229,1
112,66020,2016-05-09 07:43:50,2047,2
112,66021,2016-05-09 07:43:55,2046,1
34,75101,2016-05-09 07:45:21,2046,1
112,66021,2016-05-09 07:50:10,1229,1
60,66021,2016-05-09 07:13:21,2046,1
115,66020,2016-05-09 07:15:19,213,1
115,66020,2016-05-09 07:16:45,225,1
115,66020,2016-05-09 07:18:51,228,1
115,66020,2016-05-09 07:20:27,229,1
60,66021,2016-05-09 07:22:06,1229,1
115,66020,2016-05-09 07:23:40,2047,2
60,66021,2016-05-09 07:24:13,226,1
